Recursor: Lean.Server.Test.Refs.Test6.rec | is_sort_poly: true
Recursor: CoeTC.rec | is_sort_poly: true
Recursor: Lake.MonadDStore.rec | is_sort_poly: true
Recursor: CoeOut.rec | is_sort_poly: true
Recursor: CoeOTC.rec | is_sort_poly: true
Recursor: CoeHead.rec | is_sort_poly: true
Recursor: CoeHTC.rec | is_sort_poly: true
Recursor: CoeTail.rec | is_sort_poly: true
Recursor: CoeHTCT.rec | is_sort_poly: true
Recursor: CoeDep.rec | is_sort_poly: true
Recursor: CoeT.rec | is_sort_poly: true
Recursor: CoeFun.rec | is_sort_poly: true
Recursor: CoeSort.rec | is_sort_poly: true
Recursor: Lean.Parser.Category.rec | is_sort_poly: true
Recursor: NatCast.rec | is_sort_poly: true
Recursor: LawfulMonadLift.rec | is_sort_poly: true
Recursor: LawfulMonadLiftT.rec | is_sort_poly: true
Recursor: Lean.Parser.Tactic.DecideConfig.rec | is_sort_poly: true
Recursor: Lean.Parser.Tactic.LibrarySearchConfig.rec | is_sort_poly: true
Recursor: Lean.Try.Config.rec | is_sort_poly: true
Recursor: SizeOf.rec | is_sort_poly: true
Recursor: Thunk.rec | is_sort_poly: true
Recursor: Iff.rec | is_sort_poly: true
Recursor: Sum.rec | is_sort_poly: true
Recursor: PSum.rec | is_sort_poly: true
Recursor: Sigma.rec | is_sort_poly: true
Recursor: PSigma.rec | is_sort_poly: true
Recursor: Exists.rec | is_sort_poly: false
Recursor: ForInStep.rec | is_sort_poly: true
Recursor: ForIn.rec | is_sort_poly: true
Recursor: ForIn'.rec | is_sort_poly: true
Recursor: DoResultPRBC.rec | is_sort_poly: true
Recursor: DoResultPR.rec | is_sort_poly: true
Recursor: DoResultBC.rec | is_sort_poly: true
Recursor: DoResultSBC.rec | is_sort_poly: true
Recursor: HasEquiv.rec | is_sort_poly: true
Recursor: HasSubset.rec | is_sort_poly: true
Recursor: HasSSubset.rec | is_sort_poly: true
Recursor: Union.rec | is_sort_poly: true
Recursor: Inter.rec | is_sort_poly: true
Recursor: SDiff.rec | is_sort_poly: true
Recursor: EmptyCollection.rec | is_sort_poly: true
Recursor: Insert.rec | is_sort_poly: true
Recursor: Singleton.rec | is_sort_poly: true
Recursor: LawfulSingleton.rec | is_sort_poly: true
Recursor: Sep.rec | is_sort_poly: true
Recursor: Task.rec | is_sort_poly: true
Recursor: NonScalar.rec | is_sort_poly: true
Recursor: PNonScalar.rec | is_sort_poly: true
Recursor: ReflBEq.rec | is_sort_poly: true
Recursor: LawfulBEq.rec | is_sort_poly: true
